Wine ID,Name
335772,Guigal CDR Rouge 2018 [12/750ml]
381746,Guigal CDR Rouge 2019 [12/750ml]
226491,Guigal Cote Rotie Brune Et Blonde 2018 [6/750Ml]
226492,Guigal Crozes-Hermitage Rouge 2019 [12/750Ml]
226494,Guigal Hermitage Rouge 2018 [6/750Ml]
226490,Guigal Chateau De Ampuis 2016 [6/750Ml]
226493,Guigal Ermitage Ex-Voto Blanc 2016 [6/750Ml]
226224,Domaine Des Baumard Savennieres 2018 [12/750Ml]
226292,Domaine Talmard Macon-Chardonnay [12/750Ml]
401562,Monje Hollera Carbonica 2020 [12/750ml]
226777,Los Bermejos Rosado Brut Nature [6/750Ml]
454170,Domaine de L’Octavin Hip Hip J Chardonnay VDF White 2020 [12/750ml]
423713,Zoe Rose 2022 [12/750ml]
547718,Zoe Red 2023 [12/750ml]
423547,Alpha Estate Rose 2022 [12/750ml]
423548,Alpha Estate Xinomavro Hedgehog 2020 [12/750ml]
297332,Alpha Estate Ecosystem Assyrtiko Single Block “Aghia Kiriaki”  2015 [6/750ml]
423712,Mylonas Assyrtiko 2022 [12/750ml]
547717,Mylonas Assyrtiko 2023 [12/750ml]
331022,Douloufakis Dafnios Vidiano 2021  [12/750ml]
226308,Douloufakis Dafnios Liatiko 2018 [12/750Ml]
331025,Vassaltis Vineyards Santorini Assyrtiko 2021 [6/750ml]
574993,Le Ragnaie Brunello di Montalcino
574994,Le Ragnaie Brunello di Montalcino Casa Montosoli
574997,Le Ragnaie Brunello di Montalcino Le Ragnaie VV
574999,Le Ragnaie Rosso di Montalcino
564558,Jean Brocard Chablis Boissonneuse 2022 [12/750ml]
404948,Podrum Franjo Muz Pljesivica Red 2019 [12/750ml]
227165,"Serragghia ""Fanino"" Rosso 2020 [12/750Ml]"
379237,"Serragghia ""Fanino"" Rosso 2021 [12/750ml]"
227166,Serragghia Zibibbo Bianco 2020 [12/750Ml]
379238,"Serragghia ""Zibibbo"" Bianco 2021 [12/750ml]"
429033,Marie et Vincent Tricot Rasséréné VDF Blanc 2020 [12/750ml]
263301,Domaine Philippe Tessier Le Point du Jour Cheverny Red 2020 [12/750ml]
226908,Meinklang Roter Mulatschak Osterrich Red 2020 [12/750Ml]
